route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868014,20163611multiint-0000001,48944610-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163611multiint-0000001,48944385-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944468-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944397-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944480-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944409-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868024,20163611multiint-0000001,48944924-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944929-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944933-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944938-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944941-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944946-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944949-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944954-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944957-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944962-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944965-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944970-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944973-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868074,20163611multiint-0000001,48943268-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943348-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943274-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
